playernum,dmbunivid,sportsinteractive
25027,25027,
24877,24877,
24941,24941,3
24626,24626,4
26042,26042,5
25266,25266,6
25598,25598,
26009,26009,
25138,25138,
25675,25675,10
21667,21667,
22007,22007,
26073,26073,
25649,25649,
24734,24734,15
25413,25413,16
25753,25753,17
25258,25258,18
25262,25262,
25281,25281,
25095,25095,21
25336,25336,22
24806,24806,23
24630,24630,
25607,25607,
17456,17456,26
24521,24521,
20805,20805,
10828,10828,
13729,13729,30
25393,25393,
25720,25720,33
12045,12045,
17709,17709,35
10304,10304,
25553,25553,
24829,24829,38
24862,24862,40
25881,25881,
19648,19648,
26005,26005,
21050,21050,44
14789,14789,45
25678,25678,46
26017,26017,
25186,25186,48
25830,25830,
14400,14400,50
25962,25962,
17725,17725,
24511,24511,53
10341,10341,54
10827,10827,
24480,24480,56
20198,20198,57
26082,26082,
24588,24588,
26059,26059,
25736,25736,61
24473,24473,
22842,22842,
24615,24615,
19835,19835,65
24950,24950,67
25003,25003,68
10834,10834,69
20809,20809,
24956,24956,71
20833,20833,72
25278,25278,73
25483,25483,
25897,25897,75
25173,25173,76
22659,22659,77
11155,11155,78
17306,17306,79
26025,26025,
25519,25519,81
24648,24648,82
25540,25540,
24836,24836,84
26050,26050,
24682,24682,86
25886,25886,
26078,26078,
25151,25151,
25686,25686,90
25379,25379,91
24923,24923,92
21378,21378,93
14641,14641,94
24794,24794,
23926,23926,96
26049,26049,
15437,15437,
24553,24553,99
24586,24586,100
25099,25099,101
23429,23429,102
25790,25790,103
24980,24980,
25580,25580,
24880,24880,107
23715,23715,
23872,23872,
24420,24420,110
24476,24476,111
15748,15748,112
25882,25882,
16484,16484,
25618,25618,115
24700,24700,
24973,24973,
10375,10375,118
24675,24675,119
25907,25907,120
25334,25334,121
20594,20594,122
25820,25820,
25714,25714,124
24903,24903,125
10219,10219,
25241,25241,
26028,26028,
25735,25735,129
25569,25569,
25613,25613,131
25620,25620,
25294,25294,133
25779,25779,134
25929,25929,135
25932,25932,
25512,25512,137
25860,25860,138
25521,25521,139
25234,25234,140
18266,18266,141
11183,11183,142
25665,25665,143
25917,25917,144
24777,24777,145
10220,10220,146
24428,24428,147
11111,11111,148
25740,25740,
25232,25232,150
25036,25036,
24835,24835,152
25994,25994,
25758,25758,154
14660,14660,155
16156,16156,
16564,16564,156
25622,25622,158
24520,24520,
25911,25911,
24913,24913,
24545,24545,162
24945,24945,
25807,25807,
25357,25357,165
21870,21870,
26075,26075,
25509,25509,
25493,25493,
25218,25218,
14180,14180,171
24617,24617,
24823,24823,173
26004,26004,
24830,24830,
20769,20769,
24778,24778,177
25688,25688,
15044,15044,179
25097,25097,181
25676,25676,182
19548,19548,183
24528,24528,
25136,25136,
25851,25851,186
13838,13838,187
24935,24935,188
26035,26035,189
24616,24616,
10414,10414,191
24807,24807,
13144,13144,193
24848,24848,194
24867,24867,195
25764,25764,
25104,25104,197
25659,25659,198
25946,25946,199
25719,25719,200
25020,25020,201
25756,25756,202
25561,25561,
25614,25614,204
25002,25002,
24810,24810,206
25058,25058,
24672,24672,208
25087,25087,
17123,17123,210
25472,25472,211
25794,25794,212
25518,25518,213
19952,19952,214
25488,25488,
24859,24859,
16394,16394,217
19380,19380,
25848,25848,
16494,16494,220
26045,26045,
24629,24629,
24636,24636,
13350,13350,
25587,25587,225
14779,14779,226
15245,15245,227
15268,15268,
25631,25631,
24918,24918,
19498,19498,
25669,25669,
25344,25344,234
25184,25184,235
26010,26010,
22589,22589,238
25372,25372,
23878,23878,
25207,25207,241
14018,14018,
17008,17008,
25015,25015,
26048,26048,245
14146,14146,246
26074,26074,
24943,24943,248
26043,26043,
25310,25310,
25801,25801,
25906,25906,252
24892,24892,253
25485,25485,254
25959,25959,
25641,25641,
10429,10429,
24711,24711,258
26079,26079,
25570,25570,
10959,10959,261
12662,12662,262
25788,25788,
19940,19940,264
25384,25384,265
25078,25078,266
21494,21494,267
25115,25115,271
24507,24507,272
24727,24727,273
25646,25646,274
25497,25497,275
13599,13599,276
25320,25320,
18791,18791,278
20344,20344,279
25164,25164,
25211,25211,281
24026,24026,282
25822,25822,
25093,25093,269
10693,10693,284
24486,24486,285
24891,24891,
25100,25100,
24567,24567,
25531,25531,289
24475,24475,290
18249,18249,
11331,11331,292
15937,15937,294
17534,17534,
19716,19716,296
14116,14116,
16860,16860,
24988,24988,299
24809,24809,300
11648,11648,
25428,25428,
25572,25572,
15290,15290,304
15918,15918,
25308,25308,
18315,18315,
18970,18970,
26056,26056,
25167,25167,310
26021,26021,
23358,23358,312
